1,0,8,年,0,4,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/04/01,"16,837,401","236,222,764",14.10,14.10,14.00,14.00,-0.05,"3,933"
108/04/02,"9,222,395","129,793,621",14.05,14.10,14.00,14.10,+0.10,"3,124"
108/04/03,"11,204,905","157,960,434",14.10,14.15,14.05,14.10, 0.00,"2,660"
108/04/08,"13,572,575","191,980,228",14.10,14.20,14.10,14.15,+0.05,"3,522"
108/04/09,"9,300,278","132,094,146",14.20,14.25,14.10,14.25,+0.10,"2,451"
108/04/10,"18,341,867","260,735,423",14.25,14.25,14.15,14.25, 0.00,"4,392"
108/04/11,"15,543,610","221,742,867",14.25,14.30,14.20,14.25, 0.00,"2,961"
108/04/12,"18,690,038","265,589,628",14.25,14.30,14.15,14.20,-0.05,"3,129"
108/04/15,"14,632,216","208,476,852",14.25,14.30,14.20,14.20, 0.00,"3,071"
108/04/16,"10,745,388","152,675,320",14.20,14.25,14.20,14.20, 0.00,"2,914"
108/04/17,"9,831,551","139,715,735",14.20,14.25,14.20,14.20, 0.00,"3,740"
108/04/18,"17,506,197","248,404,161",14.20,14.25,14.10,14.20, 0.00,"3,177"
108/04/19,"6,357,627","90,375,211",14.20,14.25,14.20,14.25,+0.05,"1,765"
108/04/22,"28,146,767","398,480,678",14.25,14.30,14.05,14.10,-0.15,"5,066"
108/04/23,"11,998,622","169,847,103",14.10,14.20,14.10,14.15,+0.05,"2,483"
108/04/24,"14,971,178","212,498,202",14.20,14.30,14.10,14.20,+0.05,"2,922"
108/04/25,"22,580,767","319,060,585",14.20,14.25,14.05,14.10,-0.10,"4,236"
108/04/26,"51,836,144","718,332,625",13.85,13.90,13.80,13.90,-0.20,"13,331"
108/04/29,"26,630,192","371,260,988",13.85,14.00,13.85,14.00,+0.10,"5,339"
108/04/30,"14,575,847","204,418,073",14.05,14.10,14.00,14.00, 0.00,"3,655"
