0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
108/01/02,"13,078,054","171,175,897",13.10,13.15,13.05,13.10,+0.05,"3,272",,,,,,,,,,,,,,,,,,,,,,,,
108/01/03,"9,814,590","128,683,491",13.10,13.15,13.05,13.10, 0.00,"2,807",,,,,,,,,,,,,,,,,,,,,,,,
108/01/04,"13,902,019","181,112,213",13.05,13.10,12.95,13.00,-0.10,"3,642",,,,,,,,,,,,,,,,,,,,,,,,
108/01/07,"18,835,228","249,170,023",13.15,13.35,13.10,13.35,+0.35,"4,170",,,,,,,,,,,,,,,,,,,,,,,,
108/01/08,"10,514,947","139,025,306",13.30,13.30,13.15,13.25,-0.10,"3,479",,,,,,,,,,,,,,,,,,,,,,,,
108/01/09,"19,296,944","258,684,741",13.35,13.45,13.30,13.45,+0.20,"4,612",,,,,,,,,,,,,,,,,,,,,,,,
108/01/10,"18,551,844","246,444,165",13.30,13.35,13.15,13.35,-0.10,"3,375",,,,,,,,,,,,,,,,,,,,,,,,
108/01/11,"17,878,200","236,977,309",13.35,13.35,13.15,13.30,-0.05,"2,891",,,,,,,,,,,,,,,,,,,,,,,,
108/01/14,"9,533,005","127,053,899",13.30,13.35,13.30,13.35,+0.05,"2,254",,,,,,,,,,,,,,,,,,,,,,,,
108/01/15,"14,329,195","192,244,130",13.40,13.45,13.30,13.45,+0.10,"2,681",,,,,,,,,,,,,,,,,,,,,,,,
108/01/16,"20,078,413","267,500,079",13.45,13.45,13.25,13.30,-0.15,"3,745",,,,,,,,,,,,,,,,,,,,,,,,
108/01/17,"9,785,684","130,160,769",13.30,13.35,13.25,13.35,+0.05,"4,235",,,,,,,,,,,,,,,,,,,,,,,,
108/01/18,"7,064,225","94,611,548",13.40,13.45,13.35,13.40,+0.05,"2,146",,,,,,,,,,,,,,,,,,,,,,,,
108/01/21,"20,954,818","279,718,609",13.45,13.45,13.25,13.30,-0.10,"5,639",,,,,,,,,,,,,,,,,,,,,,,,
108/01/22,"23,042,155","305,750,691",13.30,13.35,13.20,13.30, 0.00,"4,474",,,,,,,,,,,,,,,,,,,,,,,,
108/01/23,"24,248,218","322,240,363",13.30,13.45,13.25,13.40,+0.10,"1,985",,,,,,,,,,,,,,,,,,,,,,,,
108/01/24,"18,167,132","241,788,627",13.40,13.45,13.25,13.30,-0.10,"3,312",,,,,,,,,,,,,,,,,,,,,,,,
108/01/25,"16,390,104","219,591,229",13.35,13.45,13.30,13.45,+0.15,"2,678",,,,,,,,,,,,,,,,,,,,,,,,
108/01/28,"13,247,056","178,237,450",13.45,13.50,13.40,13.45, 0.00,"2,794",,,,,,,,,,,,,,,,,,,,,,,,
108/01/29,"13,735,739","184,554,475",13.40,13.50,13.40,13.50,+0.05,"3,297",,,,,,,,,,,,,,,,,,,,,,,,
